Wall time,Step,Train_Loss,Test_Loss,Train_Acc,Test_Acc,Epoch_Duration
1748258402.9906,781,2.0360894203186,1.55404770374298,0.231079995632172,0.422500014305115,88.9209899902344
1748258488.56419,1563,1.38451111316681,1.1424298286438,0.49371999502182,0.587100028991699,90.9916534423828
1748258574.60547,2345,1.04231905937195,0.949005782604218,0.631820023059845,0.672299981117249,91.0377807617187
1748258660.64889,3127,0.827117562294006,0.780293643474579,0.711440026760101,0.737500011920929,87.8935165405273
1748258746.81553,3909,0.703007102012634,0.691195726394653,0.755699992179871,0.764100015163422,86.6558837890625
1748258832.98095,4691,0.60387122631073,0.685367584228516,0.789860010147095,0.777499973773956,86.9073104858398
1748258919.09328,5473,0.522650003433228,0.585570931434631,0.818560004234314,0.796599984169006,91.5924530029297
1748259011.47165,6255,0.472034841775894,0.532954573631287,0.83872002363205,0.821300029754639,87.6020889282227
1748259099.42562,7037,0.415890872478485,0.581280946731567,0.856700003147125,0.804400026798248,87.6084518432617
1748259185.75505,7819,0.380832195281982,0.516165673732758,0.868839979171753,0.824199974536896,88.9382247924805
